code,name,market,industry,status,is_st,tradable,updated_at,source
bj920892,广咨国际,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920895,花溪科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920896,旺成科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920906,舜宇精工,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920914,远航精密,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920924,广脉科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920925,锦好医疗,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920926,鸿智科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920931,无锡鼎邦,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920932,科达自控,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920942,恒立钻具,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920943,优机股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920946,森萱医药,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920950,迅安科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920953,国子软件,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920957,汉维科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920961,创远信科,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920964,润农节水,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920970,大禹生物,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920971,天马新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920974,凯大催化,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920976,视声智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920978,开特股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
